Date,r,RV W,RV M,PC1,PC2,year_month
2018-04-15,1.9705007062396132,1.9820456372380524,35.26543527879956,-0.5058370827709591,0.19222600659898748,2018-04
2018-04-22,0.5196669838797808,1.6877854359189532,35.26543527879956,-0.5058370827709591,0.19222600659898748,2018-04
2018-04-29,-0.008613420372622374,1.7141258943488733,35.26543527879956,-0.5058370827709591,0.19222600659898748,2018-04
2018-05-06,-0.24337491360253294,1.7132098965058562,6.444807541584691,0.0631400465903005,1.387525896211449,2018-05
2018-05-13,2.385510275293455,1.395480281512536,6.444807541584691,0.0631400465903005,1.387525896211449,2018-05
2018-05-20,-0.5422119729510262,0.8486366617391662,6.444807541584691,0.0631400465903005,1.387525896211449,2018-05
2018-05-27,0.307679515004846,0.9176982033114057,6.444807541584691,0.0631400465903005,1.387525896211449,2018-05
2018-06-03,0.4871769305937249,2.141380765364241,6.57321024713839,-0.5203494316351376,0.5854002060591053,2018-06
2018-06-10,1.6109427091006685,1.0173400889253643,6.57321024713839,-0.5203494316351376,0.5854002060591053,2018-06
2018-06-17,0.022662995124231894,0.5251597273517914,6.57321024713839,-0.5203494316351376,0.5854002060591053,2018-06
2018-06-24,-0.8954744496251651,0.8227545618831726,6.57321024713839,-0.5203494316351376,0.5854002060591053,2018-06
2018-07-01,-1.334136286866676,1.7579181476931593,9.037499132958702,-0.609610133429752,0.6755728452065097,2018-07
2018-07-08,1.513300589987777,1.3378746342945134,9.037499132958702,-0.609610133429752,0.6755728452065097,2018-07
2018-07-15,1.4921700849027408,1.4728120746269477,9.037499132958702,-0.609610133429752,0.6755728452065097,2018-07
2018-07-22,0.018561717895848234,0.6167026820937994,9.037499132958702,-0.609610133429752,0.6755728452065097,2018-07
2018-07-29,0.6045578905944977,1.2679971516578639,9.037499132958702,-0.609610133429752,0.6755728452065097,2018-07
2018-08-05,0.7608936483701504,1.0185751557405454,4.168031570158159,-0.8158359606061633,0.501948844562658,2018-08
2018-08-12,-0.24922569362921365,0.8576042553632351,4.168031570158159,-0.8158359606061633,0.501948844562658,2018-08
2018-08-19,0.5929504696959538,1.371647014505112,4.168031570158159,-0.8158359606061633,0.501948844562658,2018-08
2018-08-26,0.858025580726206,0.716683773395468,4.168031570158159,-0.8158359606061633,0.501948844562658,2018-08
2018-09-02,0.9289922376467313,1.051259838399672,3.4006905684936743,-0.9897959115606871,0.0745381110131579,2018-09
2018-09-09,-1.033754378177792,0.5377628980189686,3.4006905684936743,-0.9897959115606871,0.0745381110131579,2018-09
2018-09-16,1.1529298314460046,0.6744463105497316,3.4006905684936743,-0.9897959115606871,0.0745381110131579,2018-09
2018-09-23,0.846326315757003,1.107107480293086,3.4006905684936743,-0.9897959115606871,0.0745381110131579,2018-09
2018-09-30,-0.5369924403918519,0.5707798064409423,3.4006905684936743,-0.9897959115606871,0.0745381110131579,2018-09
2018-10-07,-0.9797359836994166,1.0577853620978683,42.376090744157494,-0.30987562661940715,1.210960101641508,2018-10
2018-10-14,-4.191183814927132,4.183221126276786,42.376090744157494,-0.30987562661940715,1.210960101641508,2018-10
2018-10-21,0.023492577031577207,2.6414747585907286,42.376090744157494,-0.30987562661940715,1.210960101641508,2018-10
2018-10-28,-4.0212067169601875,4.096395120137778,42.376090744157494,-0.30987562661940715,1.210960101641508,2018-10
2018-11-04,2.3922771243904064,2.3492809899181295,23.957371042639092,-0.12041401245052737,1.621173740086195,2018-11
2018-11-11,2.105790509851289,2.454177300312679,23.957371042639092,-0.12041401245052737,1.621173740086195,2018-11
2018-11-18,-1.6218488345966011,2.3912760097609556,23.957371042639092,-0.12041401245052737,1.621173740086195,2018-11
2018-11-25,-3.863890719339582,2.58786836929935,23.957371042639092,-0.12041401245052737,1.621173740086195,2018-11
2018-12-02,4.733546468431696,2.889789022383121,75.38440272354799,-0.6148922622291385,1.0833535784967188,2018-12
2018-12-09,-4.71379504146602,4.195176728561166,75.38440272354799,-0.6148922622291385,1.0833535784967188,2018-12
2018-12-16,-1.2662098023152952,2.009624304780501,75.38440272354799,-0.6148922622291385,1.0833535784967188,2018-12
2018-12-23,-7.312227713336893,3.697192352380739,75.38440272354799,-0.6148922622291385,1.0833535784967188,2018-12
2018-12-30,2.8200479851076348,5.632600927540819,75.38440272354799,-0.6148922622291385,1.0833535784967188,2018-12
2019-01-06,1.84153861662644,4.290967084205297,26.7686930790972,-1.7453643454208498,-0.5146161271339899,2019-01
2019-01-13,2.5086167494529077,1.3377972801850562,26.7686930790972,-1.7453643454208498,-0.5146161271339899,2019-01
2019-01-20,2.8272388367691406,1.9369356979360541,26.7686930790972,-1.7453643454208498,-0.5146161271339899,2019-01
2019-01-27,-0.22303390970260273,1.6777583558290896,26.7686930790972,-1.7453643454208498,-0.5146161271339899,2019-01
2019-02-03,1.555338150231118,1.9399676369959022,8.943177470600343,-1.3747120628479674,0.03541728843174962,2019-02
2019-02-10,0.0498615201103558,1.270716222026665,8.943177470600343,-1.3747120628479674,0.03541728843174962,2019-02
2019-02-17,2.470097758162689,1.725638802164186,8.943177470600343,-1.3747120628479674,0.03541728843174962,2019-02
2019-02-24,0.6131124256201961,0.7662597768071292,8.943177470600343,-1.3747120628479674,0.03541728843174962,2019-02
2019-03-03,0.3938286330375925,0.7593606733106297,11.19520223140569,-1.1878161526088058,0.5953349781496583,2019-03
2019-03-10,-2.1858629758871864,1.1417707935818178,11.19520223140569,-1.1878161526088058,0.5953349781496583,2019-03
2019-03-17,2.853816812514843,1.7149919511131257,11.19520223140569,-1.1878161526088058,0.5953349781496583,2019-03
2019-03-24,-0.7742981661372301,2.24919980102816,11.19520223140569,-1.1878161526088058,0.5953349781496583,2019-03
2019-03-31,1.195729759661152,1.1466629482243433,11.19520223140569,-1.1878161526088058,0.5953349781496583,2019-03
2019-04-07,2.037390635908523,1.2753052900420148,3.698587099496113,-1.3777034329637825,0.36621363903723675,2019-04
2019-04-14,0.5058473799242472,0.9674008121441887,3.698587099496113,-1.3777034329637825,0.36621363903723675,2019-04
2019-04-21,-0.08188929157063318,0.2885700902683366,3.698587099496113,-1.3777034329637825,0.36621363903723675,2019-04
2019-04-28,1.192499697192403,1.0261805339959698,3.698587099496113,-1.3777034329637825,0.36621363903723675,2019-04
2019-05-05,0.19573501829686735,1.2461488881313267,15.56016099882159,-0.5814632408519514,1.6973090353308076,2019-05
2019-05-12,-2.2049821259407665,1.7966981677130591,15.56016099882159,-0.5814632408519514,1.6973090353308076,2019-05
