"","GARCH","EGARCH","GJR","RV"
"2010-08-08",2.92347302547617,2.43409705537251,2.60058234383599,2.34396179004912
"2010-08-15",2.66937240450401,2.15894601708569,2.28112830171918,3.04643483993616
"2010-08-22",2.99342601241164,3.19418781379167,3.31284141486021,2.13137528068075
"2010-08-29",2.59661088614927,2.83300256709249,2.8852363362157,2.38960629868869
"2010-09-05",2.27583827850524,2.56171925729238,2.53958260872954,3.63281410246322
"2010-09-12",2.69918908217388,2.32458130010743,2.26800039045125,1.48688053078999
"2010-09-19",2.34560189212867,2.02686744066838,2.00644058717182,1.16767199969173
"2010-09-26",2.16963060686238,1.83695027326395,1.80934167165989,2.7707656253473
"2010-10-03",2.15745072317421,1.71377449213706,1.66744381751581,0.955966328106595
"2010-10-10",1.90355971573852,1.59706164896993,1.54695069881365,2.30606018354893
"2010-10-17",1.88289340595945,1.51121622350235,1.4639321541152,0.907245076604156
"2010-10-24",1.74766870429742,1.41592008173515,1.39316487540126,2.06562507962425
"2010-10-31",1.60546150196107,1.32568414943225,1.33837360000045,0.364905237809032
"2010-11-07",1.47006550400276,1.23059770501021,1.29671191001689,2.13126131226997
"2010-11-14",2.2182800466744,1.30015766997536,1.34092622164571,1.57517465088922
"2010-11-21",2.2307873326738,1.9932529047331,1.98341395602894,2.25205877760448
"2010-11-28",1.95907040809401,1.75888127529124,1.78262365790736,2.20247087967427
"2010-12-05",1.7956451911521,1.82164756356347,1.7314287567423,2.57945131255337
"2010-12-12",2.16822295723182,1.73742354061677,1.62982757708666,0.81314291025346
"2010-12-19",2.010106851608,1.60697365050997,1.52006958639304,0.811946788396343
"2010-12-26",1.78967682172225,1.46625963518868,1.43016507081921,0.753079319773363
"2011-01-02",1.69003478262577,1.38349344549547,1.36940532660707,0.20740216675835
"2011-01-09",1.53524593306621,1.27947914946196,1.31916987445014,1.2696095970656
"2011-01-16",1.51657929817559,1.23606259932475,1.29011223559611,1.23772670548591
"2011-01-23",1.63350847516388,1.22548970142895,1.2795715040457,1.06185417727761
"2011-01-30",1.53893106024965,1.38199785114025,1.35954451915463,1.95242870404911
"2011-02-06",1.44500301700414,1.43421022415138,1.36419457708318,1.88047568330842
"2011-02-13",1.88614772531204,1.42467735723262,1.35659146696267,0.972860209930474
"2011-02-20",1.82039853292196,1.36451697272759,1.32113157112242,0.825912286751693
"2011-02-27",1.71411261738599,1.30235382237869,1.29076406017845,2.40616860542486
